text,label_opinion,objective,partly-subjective,subjective
Letters from GOP members of Congress and national pro-life leaders to the White House and the Food and Drug Administration (FDA) last week asserted Democrats are attempting to exploit the coronavirus pandemic for the purpose of advancing their party’s pro-abortion agenda.,1,0,1,0
"Activist Dorian Wilde said anti-LGBT statements from officials cause stigma and discrimination towards the community, and transgender people in particular have to bear the brunt of the hatred due to their visibility.",0,1,0,0
"U.S. President Donald Trump retweeted a video showing one of his supporters in Florida shouting “white power” at protesters of his administration, drawing rebukes from allies and adversaries as protests continue in the aftermath of George Floyd’s death.",0,1,0,0
"Everything in the progressive agenda is aimed at dismantling nationhood, hence the creation of strains of victimhood according to gender and ethnicity.",2,0,0,1
"Even pro-life leaders have expressed their approval of using vaccines produced with fetal cell lines, in cases with no alternative.",0,1,0,0
"Backlash against marginalized communities doesn’t surprise University of Southern California Professor Chris Freeman, whose work primarily focuses on 20th century gay and lesbian studies.",0,1,0,0
"The U.S. debate over restrictions for fighting the coronavirus intensified on Monday, as protesters labeled mandatory lockdowns as “tyranny,” while medical workers and health experts cautioned that lifting them too soon risked unleashing a greater disaster.",0,1,0,0
"Andreyah Garland, a 44-year-old single mother of three daughters, bought a shotgun in May for protection in the quaint middle-class town of Fishkill, New York. ",0,1,0,0
The Europeans have set up a complicated barter-type system to skirt direct financial transactions with Iran and so evade possible U.S. sanctions.,1,0,1,0
"Shortly before President Trump signed phase one of the historic trade deal with China, a Chinese pastor described the fear and intimidation believers are enduring under the Communist government.",1,0,1,0
"As a political calculation, it shows Biden’s campaign is confident about their standing with many suburban moderates who were swing voters in the past but have moved solidly into the Democratic Party during Trump’s presidency, offended by his bullying demeanor and chaotic style.",1,0,1,0
"Yet MLB, with an exhaustive 100+ page health and safety operations manual, will attempt to become the first major sport to return on July 23 with two nationally televised games, and the rest of the teams scheduled to start July 24.\",1,0,1,0
"The new “wealth tax” is not out of character for Warren, who has long railed against income inequality and the uber-rich, but would mark a move to the left by the party as a whole if it were adopted.",1,0,1,0
"Over 70,000 women in Germany have been subjected to female genital mutilation (FGM), and a further 17,000 young girls are at risk of having the barbaric procedure being committed against them.",1,0,1,0
"Using the same alarmist language he has employed to describe illegal immigration, Trump painted Democrat-led cities as out of control and lashed out at the “radical left,” which he blamed for rising violence in some cities, even though criminal justice experts say it defies easy explanation.",1,0,1,0
"Cuban slave doctors that have escaped the system have said that, while working abroad, the Castro regime forced them to invent patients and throw away perfectly good medicine to boost the statistics on the number of patients Cuban doctors actually treat.",1,0,1,0
"Should China be the first country to develop an effective vaccine, dictator Xi Jinping has promised to provide the world with “free” coronavirus vaccines paid for by Beijing. ",1,0,1,0
Trump proceeded to ignore multiple other attempts made over subsequent weeks by his advisers and Republican allies to get him to take the pandemic seriously. Instead he dismissed their warnings as “alarmist” and would go on to hold a number of rallies (seven) and golfing outings (three) between learning of Obama’s pandemic playbook and ultimately declaring a national emergency.,1,0,1,0
"The right to abortion is just that — the right to kill unborn humans. But pro-abortionists like Quinn and Cuomo find it easier to argue that they are fighting for “reproductive rights” (even though pro-lifers are not objecting to any woman’s right to reproduce) or that fetuses are not humans but “clumps of cells.” Just as with slave owners and eugenicists before them, it’s easier for pro-abortionists to advocate for murder after they’ve dehumanized the lives they want to end.",2,0,0,1
"Biden has promised to prohibit the sale of military-style rifles and high-capacity magazines, similar to a 10-year ban that expired in 2004.",0,1,0,0
"If your “rights” mean taking everyone else’s rights away, that is not “peaceful protest.” And to compare mob behavior to the civil rights movement is to dishonor its legacy.",2,0,0,1
"At any other time, the U.S. would have led efforts and coordinated global fights against epidemics, but the science-averse Trump administration had already axed the CDC expert in China.",2,0,0,1
"As a candidate, Trump recognized that China was taking our jobs, stealing our intellectual property, and using the United States as its piggy bank.",2,0,0,1
"While Americans still cling to sexist gender roles at home, overwhelming majorities believe that sex discrimination in public spaces should be illegal.",1,0,1,0
An avowed white supremacist pleaded guilty on Monday for planning bomb and shooting attacks at a synagogue and LGBTQ bar in Las Vegas. ,0,1,0,0
